Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,NA,4,111,1.06
1,GBFS,h1,5,13,0.07
1,GBFS,h2,5,13,0.07
1,GBFS,h3,5,13,0.08
1,GBFS,h4,7,34,0.25
1,A,h1,4,36,0.21
1,A,h2,4,36,0.20
1,A,h3,4,12,0.09
1,A,h4,4,58,0.45
,,,,,
2,UCS,NA,2,17,0.11
2,GBFS,h1,4,18,0.14
2,GBFS,h2,4,18,0.15
2,GBFS,h3,4,18,0.17
2,GBFS,h4,2,3,0.01
2,A,h1,2,14,0.14
2,A,h2,2,14,0.14
2,A,h3,2,14,0.13
2,A,h4,2,3,0.01
,,,,,
3,UCS,NA,6,1282,58.53
3,GBFS,h1,15,83,1.19
3,GBFS,h2,15,83,1.25
3,GBFS,h3,15,83,1.25
3,GBFS,h4,10,80,1.10
3,A,h1,6,319,7.77
3,A,h2,6,319,7.71
3,A,h3,6,44,0.45
3,A,h4,6,714,23.57
,,,,,
4,UCS,NA,2,7,0.02
4,GBFS,h1,6,29,0.24
4,GBFS,h2,6,29,0.23
4,GBFS,h3,6,29,0.24
4,GBFS,h4,2,2,0.00
4,A,h1,2,7,0.02
4,A,h2,2,7,0.02
4,A,h3,2,7,0.02
4,A,h4,2,2,0.00
,,,,,
5,UCS,NA,3,86,1.33
5,GBFS,h1,8,38,0.61
5,GBFS,h2,8,38,0.61
5,GBFS,h3,8,38,0.62
5,GBFS,h4,3,5,0.01
5,A,h1,3,19,0.11
5,A,h2,3,19,0.11
5,A,h3,3,12,0.06
5,A,h4,3,14,0.07
,,,,,
6,UCS,NA,2,11,0.03
6,GBFS,h1,6,33,0.28
6,GBFS,h2,6,33,0.30
6,GBFS,h3,6,33,0.28
6,GBFS,h4,4,7,0.02
6,A,h1,2,11,0.03
6,A,h2,2,11,0.02
6,A,h3,2,11,0.03
6,A,h4,2,5,0.01
,,,,,
7,UCS,NA,3,35,0.11
7,GBFS,h1,3,6,0.01
7,GBFS,h2,3,6,0.01
7,GBFS,h3,3,6,0.01
7,GBFS,h4,6,12,0.04
7,A,h1,3,8,0.01
7,A,h2,3,8,0.02
7,A,h3,3,6,0.01
7,A,h4,3,6,0.01
,,,,,
8,UCS,NA,NONE,1,0.00
8,GBFS,h1,NONE,1,0.00
8,GBFS,h2,NONE,1,0.00
8,GBFS,h3,NONE,1,0.00
8,GBFS,h4,NONE,1,0.00
8,A,h1,NONE,1,0.00
8,A,h2,NONE,1,0.00
8,A,h3,NONE,1,0.00
8,A,h4,NONE,1,0.00
,,,,,
9,UCS,NA,NONE,1,0.00
9,GBFS,h1,NONE,1,0.00
9,GBFS,h2,NONE,1,0.00
9,GBFS,h3,NONE,1,0.00
9,GBFS,h4,NONE,1,0.00
9,A,h1,NONE,1,0.00
9,A,h2,NONE,1,0.00
9,A,h3,NONE,1,0.00
9,A,h4,NONE,1,0.00
,,,,,
10,UCS,NA,2,14,0.18
10,GBFS,h1,5,26,0.62
10,GBFS,h2,5,26,0.57
10,GBFS,h3,5,26,0.57
10,GBFS,h4,3,11,0.13
10,A,h1,2,11,0.11
10,A,h2,2,11,0.10
10,A,h3,2,11,0.11
10,A,h4,2,9,0.10
,,,,,
11,UCS,NA,4,314,10.72
11,GBFS,h1,6,18,0.14
11,GBFS,h2,6,18,0.15
11,GBFS,h3,6,18,0.14
11,GBFS,h4,4,8,0.03
11,A,h1,4,14,0.08
11,A,h2,4,14,0.09
11,A,h3,4,14,0.09
11,A,h4,4,44,0.49
,,,,,
12,UCS,NA,2,4,0.02
12,GBFS,h1,2,4,0.01
12,GBFS,h2,2,4,0.01
12,GBFS,h3,2,4,0.01
12,GBFS,h4,2,3,0.01
12,A,h1,2,4,0.01
12,A,h2,2,4,0.01
12,A,h3,2,4,0.01
12,A,h4,2,3,0.01
,,,,,
13,UCS,NA,4,534,34.86
13,GBFS,h1,5,8,0.03
13,GBFS,h2,5,8,0.03
13,GBFS,h3,5,8,0.03
13,GBFS,h4,5,8,0.03
13,A,h1,4,39,0.46
13,A,h2,4,39,0.51
13,A,h3,4,7,0.03
13,A,h4,4,44,0.62
,,,,,
14,UCS,NA,2,4,0.01
14,GBFS,h1,2,4,0.01
14,GBFS,h2,2,4,0.01
14,GBFS,h3,2,4,0.01
