0 0 0 F....DF...BDEAA.BDE.GGB.E.........CC
1 1 0 F.....F...BDEAA.BDE.GGBDE.........CC D99
1 1 0 F....DF...BDEAA.BDE.GGB.E........CC. C99
1 1 0 F...BDF...BDEAA.BDE.GG..E.........CC B99
1 1 0 F....DF...BD.AA.BDE.GGB.E.....E...CC E99
1 1 0 F....DF...BDEAA.BDE.GGB.E.....CC.... C96
1 1 0 F.....F...B.EAA.BDE.GGBDE....D....CC D98
1 1 0 F....DF...BDEAA.BDE.GGB.E......CC... C97
1 1 0 F....DF...BDE.AABDE.GGB.E.........CC A99
1 1 0 F....DF...BDEAA.BDE.GGB.E.......CC.. C98
1 1 0 F....DF...BDEAA.BDEGG.B.E.........CC G99
1 1 0 F....DF....DEAA.BDE.GGB.E...B.....CC B99
2 2 0 F...B.F...BDEAA.BDE.GG.DE.........CC B99 D99
2 2 0 F.....F...BD.AA.BDE.GGBDE.....E...CC E99 D99
2 2 0 F...BDF...BDEAA.BDE...GGE.........CC B99 G98
2 2 0 F...BDF...BD.AA.BDE.GG..E.....E...CC E99 B99
2 2 0 F....DF....DEAA.BDEGG.B.E...B.....CC B99 G99
2 2 0 F....DF....DEAA..DE.GGB.E...B...CCB. C98 B98
2 2 0 F...BDF...BDEAA.BDE..GG.E.........CC B99 G99
2 2 0 F.....F...BDEAA.BDE.GGBDE.....CC.... C96 D99
2 2 0 F...BDF...BDEAA.BDEGG...E.........CC B99 G99
2 2 0 F...BDF...BDEAA.BDE.GG..E.....CC.... C96 B99
2 2 0 F....DF....DEAA.BDE.GGB.E...B...CC.. C98 B99
2 2 0 F.....F...BDEAA.BDE.GGBDE......CC... C97 D99
2 2 0 F....DF...BD.AA.BDE.GGB.E.....E..CC. C99 E99
2 2 0 F...BDF...BDEAA.BDE.GG..E......CC... C97 B99
2 2 0 F.....F...B.EAA.B.E.GGBDE....D..CC.D C98 D97
2 2 0 F....DF....DE.AABDE.GGB.E...B.....CC B99 A99
2 2 0 F...BDF...BDEAA.BDE.GG..E.......CC.. C98 B99
2 2 0 F....DF...BDE.AABDE.GGB.E.......CC.. C98 A99
2 2 0 F....DF...BDEAA.BDEGG.B.E......CC... C97 G99
2 2 0 F.....F...BDEAA.BDE.GGBDE.......CC.. C98 D99
2 2 0 F...B.F...B.EAA.BDE.GG.DE....D....CC B99 D98
2 2 0 F....DF....DEAA..DE.GGB.E...B..CC.B. C97 B98
2 2 0 F....DF....DEAA.BDE.GGB.E...B..CC... C97 B99
2 2 0 F....DF...BDE.AABDE.GGB.E........CC. C99 A99
2 2 0 F.....F...B.EAA.B.E.GGBDE....D.CC..D C97 D97
2 2 0 F.....F...B.EAA.BDEGG.BDE....D....CC G99 D98
2 2 0 F.....F...BDEAA.BDE.GGBDE........CC. C99 D99
2 2 0 F....DF...BDEAA.BDEGG.B.E........CC. C99 G99
2 2 0 F....DF...BDE.AABDE.GGB.E.....CC.... C96 A99
2 2 0 F.....F.....EAA.BDE.GGBDE...BD....CC B99 D98
2 2 0 F....DF...BDEAA.BDEGG.B.E.......CC.. C98 G99
2 2 0 F.....F...B.EAA.BDE.GGBDE....D.CC... C97 D98
2 2 0 F....DF....DEAA.BDE.GGB.E...B....CC. C99 B99
2 2 0 F.....F...B.EAA.BDE.GGBDE....D..CC.. C98 D98
2 2 0 F....DF...BDEAA.BDEGG.B.E.....CC.... C96 G99
2 2 0 F...BDF...BDEAA.BDE.GG..E........CC. C99 B99
2 2 0 .....DF...BDFAA.BDE.GGB.E.....E...CC E99 F99
2 2 0 F....DF....DEAA..DE.GGB.E...B.CC..B. C96 B98
2 2 0 F....DF....DEAA.BDE.GGB.E...B.CC.... C96 B99
2 2 0 F.....F...B.EAA.B.E.GGBDE....D...CCD C99 D97
2 2 0 F.....F...B.EAA.B.E.GGBDE....DCC...D C96 D97
2 2 0 F.....F...B.EAA.BDE.GGBDE....DCC.... C96 D98
2 2 0 F.....F...B.EAA.BDE.GGBDE....D...CC. C99 D98
2 2 0 F....DF...BD..AABDE.GGB.E.....E...CC E99 A99
2 2 0 F.....F...B.E.AABDE.GGBDE....D....CC D98 A99
2 2 0 F....DF...BDE.AABDEGG.B.E.........CC G99 A99
2 2 0 F....DF...BDAA..BDE.GGB.E.....E...CC E99 A99
2 2 0 F.....F...BDE.AABDE.GGBDE.........CC D99 A99
2 2 0 F....DF...BD.AA.BDEGG.B.E.....E...CC E99 G99
2 2 0 F....DF....D.AA.BDE.GGB.E...B.E...CC E99 B99
2 2 0 F.....F...BDEAA.BDEGG.BDE.........CC G99 D99
2 2 0 F....DF...BD.AA.BDE.GGB.E.....ECC... C97 E99
2 2 0 F....DF...BDE.AABDE.GGB.E......CC... C97 A99
2 2 0 F....DF...BD.AA.BDE.GGB.E.....E.CC.. C98 E99
2 2 0 F.....F....DEAA.BDE.GGBDE...B.....CC B99 D99
2 2 0 F.....F...B..AA.BDE.GGBDE....DE...CC E99 D98
2 2 0 F...BDF...BDE.AABDE.GG..E.........CC B99 A99
3 3 0 F...B.F...BDE.AABDE.GG.DE.........CC B99 D99 A99
3 3 0 F...B.F...BD.AA.BDE.GG.DE.....E...CC E99 B99 D99
3 3 0 F...BDF...BD.AA.BDE...GGE.....E...CC E99 B99 G98
3 3 0 F.....F...BDE.AABDE.GGBDE.....CC.... C96 D99 A99
3 3 0 F...B.F...B.EAA.B.E.GG.DE....D..CC.D C98 B99 D97
3 3 0 F....DF...BDE.AABDEGG.B.E........CC. C99 G99 A99
3 3 0 F....DF....DEAA..DEGG.B.E...B.CC..B. C96 B98 G99
3 3 0 F.....F...B.E.AABDE.GGBDE....D.CC... C97 D98 A99
3 3 0 F...B.F...B.EAA.B.E.GG.DE....D.CC..D C97 B99 D97
3 3 0 F...B.F...BDEAA.BDE..GGDE.........CC B99 G99 D99
3 3 0 F...B.F...B.EAA.BDE.GG.DE....D.CC... C97 B99 D98
3 3 0 F....DF...BD..AABDE.GGB.E.....E..CC. C99 E99 A99
3 3 0 F...B.F...BDEAA.BDEGG..DE.........CC B99 G99 D99
3 3 0 ......F...BDFAA.BDE.GGBDE.....E...CC E99 D99 F99
3 3 0 F....DF...BDAA..BDE.GGB.E.....E..CC. C99 E99 A99
3 3 0 F....DF...BD.AA.BDEGG.B.E.....E..CC. C99 E99 G99
3 3 0 F...B.F...BDEAA.BDE.GG.DE.....CC.... C96 B99 D99
3 3 0 F....DF....D.AA.BDE.GGB.E...B.E..CC. C99 E99 B99
3 3 0 F.....F...B..AA.B.E.GGBDE....DE..CCD C99 E99 D97
3 3 0 F...B.F...BDEAA.BDE.GG.DE......CC... C97 B99 D99
3 3 0 ....BDF...BDFAA.BDE.GG..E.....E...CC E99 B99 F99
3 3 0 F...BDF...BDE.AABDE..GG.E.........CC B99 G99 A99
3 3 0 F.....F...B..AA.BDE.GGBDE....DE..CC. C99 E99 D98
3 3 0 F.....F...BDEAA.BDEGG.BDE......CC... C97 G99 D99
3 3 0 F...B.F...BDEAA.BDE.GG.DE.......CC.. C98 B99 D99
3 3 0 F.....F....DEAA..DE.GGBDE...B..CC.B. C97 B98 D99
3 3 0 F.....F....DEAA.BDE.GGBDE...B..CC... C97 B99 D99
3 3 0 F...B.F...BDEAA.BDE.GG.DE........CC. C99 B99 D99
3 3 0 F....DF....D.AA..DE.GGB.E...B.E.CCB. C98 E99 B98
3 3 0 F....DF....DE.AABDE.GGB.E...B...CC.. C98 B99 A99
3 3 0 F.....F.....EAA.B.E.GGBDE...BD..CC.D C98 B99 D97
3 3 0 F....DF....D.AA.BDEGG.B.E...B.E...CC E99 B99 G99
3 3 0 F.....F.....EAA.BDE.GGBDE...BD..CC.. C98 B99 D98
3 3 0 F.....F....DEAA.BDE.GGBDE...B...CC.. C98 B99 D99
3 3 0 F...BDF...BDE.AABDEGG...E.........CC B99 G99 A99
3 3 0 F...B.F...B.EAA.B.E.GG.DE....DCC...D C96 B99 D97
3 3 0 F....DF....D.AA.BDE.GGB.E...B.E.CC.. C98 E99 B99
3 3 0 F.....F...B..AA.B.E.GGBDE....DE.CC.D C98 E99 D97
3 3 0 F....DF....D.AA.BDE.GGB.E...B.ECC... C97 E99 B99
3 3 0 F...B.F...B.EAA.BDE.GG.DE....DCC.... C96 B99 D98
3 3 0 F...BDF...BDEAA.BDEGG...E.....CC.... C96 B99 G99
3 3 0 F...BDF...BDE.AABDE.GG..E.....CC.... C96 B99 A99
3 3 0 F...BDF...BDEAA.BDEGG...E......CC... C97 B99 G99
3 3 0 F...BDF...BDEAA.BDEGG...E.......CC.. C98 B99 G99
3 3 0 F.....F...BDE.AABDE.GGBDE......CC... C97 D99 A99
3 3 0 F...BDF...BDE.AABDE.GG..E......CC... C97 B99 A99
3 3 0 F...BDF...BDEAA.BDEGG...E........CC. C99 B99 G99
3 3 0 F...B.F...B.EAA.BDEGG..DE....D....CC B99 G99 D98
3 3 0 .....DF...BDFAA.BDE.GGB.E.....E..CC. C99 E99 F99
3 3 0 F.....F...BDEAA.BDEGG.BDE.....CC.... C96 G99 D99
3 3 0 F.....F....DEAA..DE.GGBDE...B.CC..B. C96 B98 D99
3 3 0 F....DF....D..AABDE.GGB.E...B.E...CC E99 B99 A99
3 3 0 F....DF...BD..AABDE.GGB.E.....E.CC.. C98 E99 A99
3 3 0 F....DF....D.AA..DE.GGB.E...B.ECC.B. C97 E99 B98
3 3 0 F.....F....DEAA.BDE.GGBDE...B.CC.... C96 B99 D99
3 3 0 F...BDF...BDEAA.BDE..GG.E.....CC.... C96 B99 G99
3 3 0 F...BDF...BDE.AABDE.GG..E.......CC.. C98 B99 A99
3 3 0 F...BDF...BDEAA.BDE..GG.E......CC... C97 B99 G99
3 3 0 F...BDF...BDEAA.BDE..GG.E.......CC.. C98 B99 G99
3 3 0 F....DF...BD.AA.BDEGG.B.E.....ECC... C97 E99 G99
3 3 0 F...B.F...B.E.AABDE.GG.DE....D....CC B99 D98 A99
3 3 0 F...BDF...BDEAA.BDE..GG.E........CC. C99 B99 G99
