0 0 0 ..EEE..CCC..AA...H..BB.H...FFHDD.GGG I1
1 1 0 ..EEE..CCC.HAA...H..BB.H...FF.DD.GGG H99 I1
1 1 0 ..EEE..CCC..AA...H..BB.H...FFHDDGGG. G99 I1
1 1 0 ..EEE..CCC..AA...H..BB.H..FF.HDD.GGG F99 I1
1 1 0 ..EEE..CCC..AA...H...BBH...FFHDD.GGG B99 I1
1 1 0 ..EEE..CCC..AA...H..BB.H...FFH.DDGGG D99 I1
1 1 0 ..EEE..CCC..AA...HBB...H...FFHDD.GGG B98 I1
1 1 0 ...EEE.CCC..AA...H..BB.H...FFHDD.GGG E99 I1
1 1 0 ..EEE..CCC..AA...H.BB..H...FFHDD.GGG B99 I1
1 1 0 ..EEE....CCCAA...H..BB.H...FFHDD.GGG C98 I1
1 1 0 ..EEEH.CCC.HAA...H..BB.....FF.DD.GGG H98 I1
1 1 0 EEE....CCC..AA...H..BB.H...FFHDD.GGG E98 I1
1 1 0 ..EEE...CCC.AA...H..BB.H...FFHDD.GGG C99 I1
1 1 0 ..EEE.CCC...AA...H..BB.H...FFHDD.GGG C99 I1
1 1 0 .EEE...CCC..AA...H..BB.H...FFHDD.GGG E99 I1
1 1 0 ..EEE..CCC..AA...H..BB.HFF...HDD.GGG F97 I1
1 1 0 ..EEE..CCC.....AAH..BB.H...FFHDD.GGG A97 I1
1 1 0 ..EEE..CCC..AA...H..BB.H.FF..HDD.GGG F98 I1
1 1 0 ..EEE..CCC....AA.H..BB.H...FFHDD.GGG A98 I1
1 1 0 ..EEE..CCC...AA..H..BB.H...FFHDD.GGG A99 I1
2 2 0 ..EEE..CCC.HAA...H...BBH...FF.DD.GGG H99 B99 I1
2 2 0 ..EEE..CCC.HAA...H..BB.H...FF..DDGGG D99 H99 I1
2 2 0 ..EEE..CCC.....AAH..BB.H..FF.HDD.GGG F99 A97 I1
2 2 0 ..EEE..CCC..AA...H..BB.H..FF.H.DDGGG D99 F99 I1
2 2 0 ...EEE.CCC.....AAH..BB.H...FFHDD.GGG A97 E99 I1
2 2 0 ..EEEH.CCC.HAA...H..BB..FF....DD.GGG H98 F97 I1
2 2 0 ..EEE..CCC...AA..H..BB.H.FF..HDD.GGG F98 A99 I1
2 2 0 ..EEE..CCC....AA.H..BB.HFF...HDD.GGG F97 A98 I1
2 2 0 ..EEEH.CCC.HAA...H..BB...FF...DD.GGG H98 F98 I1
2 2 0 ..EEE..CCC....AA.H..BB.H..FF.HDD.GGG F99 A98 I1
2 2 0 EEE..H.CCC.HAA...H..BB.....FF.DD.GGG H98 E98 I1
2 2 0 .EEE.H.CCC.HAA...H..BB.....FF.DD.GGG H98 E99 I1
2 2 0 ..EEE..CCC.HAA...HBB...H...FF.DD.GGG H99 B98 I1
2 2 0 ..EEE..CCC...AA..H..BB.H..FF.HDD.GGG F99 A99 I1
2 2 0 ..EEE....CCC..AA.H..BB.H...FFHDD.GGG A98 C98 I1
2 2 0 ..EEE....CCC.AA..H..BB.H...FFHDD.GGG A99 C98 I1
2 2 0 ..EEE..CCC..AA...H...BBH..FF.HDD.GGG F99 B99 I1
2 2 0 ..EEE....CCCAA...H..BB.HFF...HDD.GGG F97 C98 I1
2 2 0 ..EEE....CCCAA...H..BB.H.FF..HDD.GGG F98 C98 I1
2 2 0 ..EEE..CCC.HAA...H.BB..H...FF.DD.GGG H99 B99 I1
2 2 0 ..EEE..CCC.....AAH..BB.H...FFHDDGGG. G99 A97 I1
2 2 0 ..EEE..CCC..AA...HBB...H..FF.HDD.GGG F99 B98 I1
2 2 0 EEE......CCCAA...H..BB.H...FFHDD.GGG C98 E98 I1
2 2 0 .EEE.....CCCAA...H..BB.H...FFHDD.GGG C98 E99 I1
2 2 0 ..EEE..CCC..AA...H.BB..H..FF.HDD.GGG F99 B99 I1
2 2 0 ..EEE..CCC....AA.H.BB..H...FFHDD.GGG B99 A98 I1
2 2 0 ..EEE..CCC...AA..H.BB..H...FFHDD.GGG B99 A99 I1
2 2 0 ..EEE...CCCHAA...H..BB.H...FF.DD.GGG H99 C99 I1
2 2 0 ..EEE....CCCAA...H..BB.H..FF.HDD.GGG F99 C98 I1
2 2 0 ..EEE....CCCAA...H.BB..H...FFHDD.GGG B99 C98 I1
